poi_id,name,category,overview,image
987810,해운대 동백섬,자연경관(하천‧해양),"동백섬은 오랜 세월 퇴적작용으로 육지와 연결되었지만 아직도 동백섬이라고 부르고 있어 옛날 지형을 연상시켜 주고 있다. 일찍이 최치원 선생을 비롯한 많은 시인 묵객들은 바다와 숲이 어우러진 이곳의 절경을 찾아 노닐고 그 감흥을 읊어 후세에 전하고 있다. 동백섬을 둘러 산책로가 조성되어 시민들의 발길이 끊이지 않고 있으며 최치원의 해운대 각자, 동상, 시비를 비롯해서 황옥공주 전설의 주인공 인어상과 누리마루 APEC하우스 등 과거와 현재에 걸친 인적이 곳곳에 배어 있다. 또한, 동백섬에서 보는 부산의 전경은 인상적인데 건너편 미포 쪽 해안끝선과 달맞이 언덕, 바다와 하늘을 가로지르는 광안대교, 부산바다의 상징 오륙도 등이 한눈에 들어온다. 이름 그대로 예전에 말발굽에 차일 정도로 동백꽃이 지천으로 피고 지던 곳에는 지금도 변함없이 겨울에서 봄 사이에 꽃망울을 맺고 빨간 꽃이 통으로 떨어져 운치를 더하고 있다.",https://tong.visitkorea.or.kr/cms/resource/47/3350847_image2_1.jpg
126848,해동용궁사,종교성지,"해동용궁사는 1376년 공민왕(恭民王)의 왕사(王師)였던 나옹대사(懶翁大師)의 창건으로 바다와 용과 관음대불이 조화를 이루어 신앙의 깊은 뜻을 담고 있으며, 진심으로 기도를 하면 누구나 꼭 현몽을 받고 한 가지 소원을 이루는 곳으로 유명하다. 임진왜란의 병화로 소실되었다가 1930년대 초 통도사의 운강(雲崗)이 중창하였다. 1974년 정암(晸菴) 스님이 이 절의 주지가 되어 관음도량으로 복원할 것을 발원하고 백일기도를 하였는데, 꿈에서 흰옷을 입은 관세음보살이 용을 타고 승천하는 것을 보았다 하여 절 이름을 해동용궁사로 바꾸었다. 현존하는 건물은 대웅전을 비롯하여 굴법당, 용왕당(용궁단), 범종각, 요사채 등이 있다. 대웅전 옆에 있는 굴법당은 미륵전이라고 하여 창건 때부터 미륵좌상 석불을 모시고 있는데 자손이 없는 사람이 기도하면 자손을 얻게 된다 하여 득남불이라고 부른다. 대웅전 앞에는 사사자 석탑이 있다.",https://tong.visitkorea.or.kr/cms/resource/35/3499335_image2_1.jpg
2504464,부산 송도해상케이블카,기타체험,"송도해수욕장에 위치한 송도해상케이블카는 우리나라 제1호 공설해수욕장인 송도해수욕장의 옛 명성을 되살리기 위해 29년 만에 복원되었다. 부산에어크루즈는 해수욕장 동쪽 송림공원에서 서쪽 암남공원까지의 구간을 바닥이 투명한 크리스털캐빈을 포함하여 최신기종인 캐빈 39기가 운행된다. 특히, 바다 위를 가로질러 운행함으로써 부산 송도 일대의 빼어난 풍광을 즐길 수 있다.
이 밖에 국내 최초의 케이블카 뮤지엄 ‘송도 도펠마이어 월드’, 아시아 최초의 공중그네 ‘스카이스윙’, ‘테마파크 포토서비스 ’등 다양한 테마시설과 볼거리를 제공한다.

◎ 한류의 매력을 만나는 여행 정보 - 예능 
바다와 산, 그리고 하늘을 한눈에 다 담고 싶다면 ‘송도 해상케이블카’가 모든 걸 충족시켜 줄 것이다. ‘뉴진스코드 IN 부산’에서는 뉴진스 멤버들이 이 케이블카에 탑승해 발밑으로 보이는 바다와 탁 트인 자연 풍경에 감탄하는 모습을 보인다. 부산을 한눈에 담고 싶다면 ‘송도 해상케이블카’에 올라타 보는 것을 추천한다.",https://tong.visitkorea.or.kr/cms/resource/11/3413711_image2_1.jpg
2732397,물빛색스튜디오,기타체험,"부산의 물빛색스튜디오는 이색 기념사진을 찍을 수 있는 곳이다. 수조 안의 모델의 모습을 촬영하는 수중촬영을 할 수 있다. 물빛색스튜디오에는 너비 3.5m, 깊이 2.4m의 대형 단독 수조가 준비되어 있고, 그 위로 다양한 색상을 비출 수 있는 조명이 준비되어 있다. 또한, 촬영 시에 필요한 의상과 소품도 다양하게 구비되어 있다. 각종 한복과 드레스, 인어 복장 등 선택지가 다양하다. 주로 커플, 웨딩, 만삭 촬영을 하고 있다. 샤워실도 있어 세면도구가 모두 구비되어 있다. 메이크업부터 촬영까지 전문가들의 손길을 거쳐 진행된다.",https://tong.visitkorea.or.kr/cms/resource/64/3491264_image2_1.jpg
2815627,롯데월드 어드벤처 부산,테마공원,"롯데월드 어드벤처 부산은 숲 속의 청량함과 짜릿한 스릴감을 완벽하게 즐길 수 있도록 준비되어 있다. '놀이공원' 하면 떠오르는 언제나 즐겁고 신나는 공연 그리고 퍼레이드를 경험할 수 있다. 롯데월드 어드벤처 부산은 대한민국 제2의 도시라고 불리는 부산에 세워진 데다 대중교통을 이용한 접근성도 편리해 개장 첫날부터 끊임없는 발길이 이어지고 있다.
6개의 테마존으로 꾸려져 있다. 요정 마을 팅커폴스 존 중심에 토킹트리가 있는데 이 나무는 애니매트로닉스 기술이 적용되어 파크 내 6개 테마에 관한 이야기를 들려준다. 롯데월드 내 가장 높은 곳에 위치한 로얄가든 존의 로리캐슬은 물에 떠 있는 듯한 모습으로 연출되어 있으며 부산의 전경과 함께 기장 앞바다를 한눈에 즐길 수 있다. 이외의 놀이 기구들 특히 자이언트 디거, 자이언트 스플래쉬 등 대표 어트랙션은 그 짜릿함이 벌써 입소문을 타고 있다. 이렇게 어른들을 위한 어트랙션뿐만 아니라 유아를 동반한 가족 이용객을 위한 놀이 기구도 준비되어 있다. 날씨와 관계없이 아이와 안전하게 즐길 수 있도록 실내에 배치되어 있다. 

◎ 한류의 매력을 만나는 여행 정보 - 드라마 
중간과 준희가 남부럽지 않은 데이트를 즐겼던 롯데월드 어드벤처 부산은 동화 속에 들어온 듯한 풍경과 스릴 넘치는 놀이기구, 환상적인 퍼레이드가 공존하는 곳이다. ‘토킹 트리’ 앞에 서면 반지를 주고받으며 행복해하던 중간·준희 커플이 떠오른다.",https://tong.visitkorea.or.kr/cms/resource/21/2815721_image2_1.jpg
2783344,낙동강 생태탐방선,자연공원,"낙동강 생태탐방선은 낙동강 물줄기를 따라 에코투어를 즐길 수 있는 프로그램이다. 물금과 대동 코스, 을숙도 일원 코스, 화명과 물금 코스가 있다. 낙동강 생태탐방선은 전화로 사전예약 또는 방문 후 승선이 가능하다. 승선신고서 작성을 위해 신분증을 반드시 지참해야 하며, 탑승 20분 전까지 탑승장에 도착해야 한다.
여객 30명까지 승선이 가능한 탑승선은 쾌적하고 넓은 내부를 자랑한다. 탐방선이 출발하면 생태탐방 해설사가 낙동강의 생태와 역사에 관해 설명해 준다. 유익한 해설을 들은 후에는 탐방선 2층에서 따뜻한 햇볕과 시원한 강바람을 맞으며 아름다운 낙동강 풍광을 눈에 담을 수 있다. 낙동강 생태탐방선의 특징 중 하나는 친환경에너지를 사용한다는 것인데, 2층에서 태양광발전기와 풍력발전기를 통해 에너지를 얻는 모습을 직접 관찰할 수 있다. 또 선내에 망원경이 비치되어 멀리 있는 풍경까지 더욱 자세한 생태탐방이 가능하다.",https://tong.visitkorea.or.kr/cms/resource/51/2787651_image2_1.jpg
2662991,구포만세거리,도시지역문화관광,"구포만세거리는 1903년 개통돼 일제강점기부터 지금까지 북구의 관문으로 사랑받았던 구포역에서 시작되는 거리다. 구포역부터 구포시장까지 가는 길로 구포장터 3·1 만세운동에 관한 다양한 벽화들을 감상할 수 있다. 구포장터 3·1 만세운동은 1919년 3월 29일 구포장터에서 1,200여 명이 대규모 만세운동을 벌여 김옥겸 선생 등 42명이 옥고를 치른 부산의 대표적인 독립만세 운동이며 의거의 주축이 주로 유림과 학생이었던 타 지역과 달리, 상인과 노동자 등 서민 대중들이 주도했다는 점에서 그 의미가 크다고 할 수 있다. 본격적으로 거리로 나서면 먼저 눈에 띄는 것은 곳곳에 남은 역사의 흔적들과 지금의 구포 문화를 직접 경험할 수 있는 구포국수체험관 및 문화예술플랫폼으로 이어진다.",https://tong.visitkorea.or.kr/cms/resource/34/3493634_image2_1.jpg
2606230,국립달음산자연휴양림,자연공원,"해발 588미터의 달음산은 기장 8경 중에 제1경이며, 기장군의 2대 명산 중의 하나이다. 달음산 정산에 거대한 바위가 있어 독수리처럼 굽어본다하여 취봉 또는 수리봉으로 불린다. 국립달음산자연휴양림은 달음산 서쪽 자락에 위치하고 있으며, 부산광역시 최초의 국립 자연휴양림으로 산과 바다를 모두 보고 즐길 수 있는 최적의 휴양림이다. 발아래 철썩대는 바닷물을 볼 수 있는 한국의 삼대 관음성지중의 한곳인 해동용궁사를 비롯해 일광해수욕장, 기장대변 멸치축제 등 접근성과 편의성을 두루 갖추고 있다.",https://tong.visitkorea.or.kr/cms/resource/21/2611721_image2_1.jpg
3027444,낙조정,랜드마크관광,"낙조정은 부산광역시 사하구 을숙도에 있는 철새 관찰 전망대이다. 낙조정은 철새보호구역에서 철새의 활동에 지장을 주지 않으면서 철새의 형상으로 새와 함께 즐긴다는 의미로 붙여진 이름이다. 2층에 전망대가 있고, 철새를 관찰할 수 있는 망원경이 비치되어 있어 철새의 이동을 관찰할 수 있다. 낙조정에는 경사로 올라가는 특이한 엘리베이터가 설치되어 있어 노약자도 전망대에서 철새를 조망할 수 있도록 운영하고 있다. 옆에는 어도관람실도 함께 운영하고 있으며, 지하 2층에 내려가면 물고기를 직접 관찰할 수 있도록 투명 유리창으로 된 어도를 만날 수 있다.",https://tong.visitkorea.or.kr/cms/resource/23/3027423_image2_1.JPG
1945309,이기대,자연경관(하천‧해양),"이기대는 장산봉이 바다로 면한 동쪽 바닷가에 있는 대로 용호3동에 속한다. 용호하수처리장에서 고개 하나 넘은 곳에 있으며 장산봉이 바다로 면한 동쪽은 기묘한 바위절벽으로 경관이 뛰어났지만 사람들이 걸어서 오가기에는 위험하다. 그래서 주로 바다에서 배로 그 경관을 즐긴다. 이기대 중심자리는 직각으로 된 절벽이 아니라 바다에 접한 암반이 비스듬히 기울어져 평면에 가깝게 된 곳이 산을 따라 2㎞ 정도 바닷가로 이어져 있다. 그 바위반석에서 동해를 바라보는 경관과 밀려드는 파도를 바라보는 경관이 빼어난 곳이다. 예전에는 군작전지구로 지정되어 있어 민간인의 출입이 금지되었다가 1993년에 개방되었다.

(출처: 부산 남구 문화관광 홈페이지)",https://tong.visitkorea.or.kr/cms/resource/11/4096311_image2_1.jpg
